name,git,cloned
o,https://github.com/xyproto/o,False
Pokete,https://github.com/lxgr-linux/pokete,False
czg,https://github.com/Zhengqbbb/cz-git,False
portal,https://github.com/SpatiumPortae/portal,False
pokeget,https://github.com/talwat/pokeget,False
tiptop,https://github.com/nschloe/tiptop,False
iola,https://github.com/pvarentsov/iola,False
lowcharts,https://github.com/juan-leon/lowcharts,False
nb,https://github.com/xwmx/nb,False
ots,https://github.com/sniptt-official/ots,False
rare,https://github.com/zix99/rare,False
Awesome CLI,https://github.com/umutphp/awesome-cli,False
ora,https://github.com/sindresorhus/ora,False
hyperfine,https://github.com/sharkdp/hyperfine,False
Bitwarden CLI,https://github.com/bitwarden/cli,False
choose,https://github.com/jagprog5/choose,False
invidtui,https://github.com/darkhz/invidtui,False
redive,https://github.com/neelkarma/redive,False
Cloudcash,https://github.com/mrusme/cloudcash,False
bluetuith,https://github.com/darkhz/bluetuith,False
Brash,https://github.com/zakariagatter/brash,False
torrentCLI,https://github.com/amogusussy/torrentCLI,False
Spaceship,https://github.com/spaceship-prompt/spaceship-prompt,False
cloc,https://github.com/AlDanial/cloc,False
Tokei,https://github.com/XAMPPRocky/tokei,False
scc,https://github.com/boyter/scc,False
Cppcheck,https://github.com/danmar/cppcheck/,False
Frama-C,https://git.frama-c.com/pub/frama-c/,False
terdle,https://github.com/neelkarma/terdle,False
MusicPlayerPlus,https://github.com/doctorfree/MusicPlayerPlus,False
ContainerSSH,https://github.com/ContainerSSH/ContainerSSH,False
Limoji,https://github.com/GEROGIANNIS/Limoji,False
Minesweeper Game,https://github.com/omerkarabacak/minesweeper,False
Tilde,https://github.com/gphalkes/tilde,False
spotify-player,https://github.com/aome510/spotify-player,False
git-remote-aws,https://github.com/nathants/git-remote-aws,False
Stig,https://github.com/rndusr/stig,False
ancv,https://github.com/alexpovel/ancv,False
lf,https://github.com/gokcehan/lf,False
welcome.sh,https://github.com/G2-Games/welcome.sh,False
flash-tui,https://github.com/TBS1996/flash-tui,False
jqp,https://github.com/noahgorstein/jqp,False
systeroid,https://github.com/orhun/systeroid,False
hangman,https://github.com/braheezy/hangman,False
CLI-Dictionary,https://github.com/Lodobo/CLI-Dictionary,False
